"cap";"categoria";"clifor";"cod_agente";"conto";"es_iva";"listino";"localita";"mastro";"natura";"pagamento";"pr";"rag_sociale1";"sconto";"spese";"tipo_fatturaz";"zona"
"52014";"";"F";"0";"53";"0";"";"POPPI";"40";"2";"RD3";"AR";"IDRAULICA BONINI GIANCARLO DI";"0";"1";"N";""
"52014";"";"F";"0";"531";"0";"";"POPPI";"40";"1";"R.D";"AR";"IL BISTROT SNC";"0";"1";"N";""
"52014";"";"F";"0";"54";"0";"";"PONTE A POPPI - POPPI";"40";"2";"R.D";"AR";"FARMACIA VELTRONI DR.DANI";"0";"1";"N";""
"52014";"";"F";"0";"540";"0";"";"POPPI";"40";"2";"RD3";"AR";"SIRBU DANIEL";"0";"1";"N";""
"52014";"";"F";"0";"583";"0";"";"POPPI";"40";"1";"RD3";"AR";"SPADI SRL";"0";"1";"N";""
"52014";"";"F";"0";"60";"0";"";"POPPI";"40";"2";"RD3";"AR";"MUNICCHI GIANFRANCO";"0";"1";"N";""
"52014";"";"F";"0";"623";"0";"";"POPPI";"40";"1";"";"AR";"ROSSOBIRRA DI ACCIAI MARCELLA";"0";"1";"N";""
"52014";"";"F";"0";"71";"0";"";"POPPI";"40";"1";"RB3";"AR";"ROSSI GOMME SNC DI ROSSI";"0";"1";"N";""
"52014";"";"F";"0";"79";"0";"";"CORTONA";"40";"1";"R.D";"AR";"ROSSI LUCIA";"0";"1";"N";""
"52014";"";"F";"0";"80";"0";"";"CORTONA";"40";"2";"R.D";"AR";"ROSSI FABRIZIO";"0";"1";"N";""
"52014";"";"F";"0";"82";"0";"";"PONTE A POPPI";"40";"2";"R.D";"AR";"IMPREDA EDILE MATINI ADAMO";"0";"1";"N";""
"52014";"";"F";"0";"86";"0";"";"POPPI";"40";"1";"RD3";"AR";"MAGGI MARIANO SERVIZI ECOLOG.";"0";"1";"N";""
"52014";"";"F";"0";"88";"0";"";"POPPI";"40";"1";"R.D";"AR";"AZIENDA AGRICOLA SAN MARCO";"0";"1";"N";""
"52014";"DET";"C";"0";"147";"0";"88";"POPPI";"14";"1";"RD3";"AR";"RIST.CASENTINO DA BENITO DI";"0";"0";"1";"16"
"52014";"DET";"C";"0";"28";"0";"";"POPPI";"14";"1";"R.D";"AR";"MAGGI MARIANO SRL";"0";"0";"2";"16"
"52014";"DOO";"C";"0";"100";"0";"65";"POPPI";"14";"1";"RD3";"AR";"SUPERMERCATO FATUCCHI SAS";"0";"0";"1";"16"
"52014";"ECO";"C";"0";"29";"0";"EC";"POPPI";"13";"2";"P";"AR";"CLIENTE 29";"0";"0";"2";"16"
"52015";"";"C";"0";"27";"0";"";"PRATOVECCHIO-STIA";"14";"1";"R.D";"AR";"MCS SRL";"0";"0";"2";"16"
"52015";"";"F";"0";"150";"0";"";"PRATOVECCHIO";"40";"1";"R.D";"AR";"SANGIOVESE SNC DI";"0";"1";"N";""
"52015";"";"F";"0";"163";"0";"";"PRATOVECCHIO";"40";"2";"R.D";"AR";"STUDIO COMM.VEZZOSI DR.SILVIO";"0";"1";"N";""
"52015";"";"F";"0";"312";"0";"";"PRATOVECCHIO-STIA";"40";"2";"R.D";"AR";"OSTERIA CARAMBAR DI GORETTI";"0";"1";"N";""
"52015";"";"F";"0";"371";"0";"";"PRATOVECCHIO";"40";"1";"R.D";"AR";"A.S.D.FALTERONA ALTO CASENTINO";"0";"1";"N";""
"52015";"";"F";"0";"42";"0";"";"PRATOVECCHIO";"40";"1";"RD6";"AR";"IDEA 2000 I.L.";"0";"1";"N";""
"52015";"";"F";"0";"504";"0";"";"PRATOVECCHIO STIA";"40";"2";"R.D";"AR";"LEONARDO NORCINI";"0";"1";"N";""
"52015";"ECO";"C";"0";"5";"0";"EC";"PRATOVECCHIO";"13";"2";"P";"AR";"CLIENTE 30";"0";"0";"2";"16"
"52016";"";"F";"0";"210";"0";"";"RASSINA";"40";"2";"RD3";"AR";"RES DI PIANTINI GIACOMO";"0";"1";"N";""
"52016";"";"F";"0";"245";"0";"";"RASSINA";"40";"2";"R.D";"AR";"ELETTROCALOR DI FALSETTI";"0";"1";"N";""
"52016";"";"F";"0";"325";"0";"";"CASTEL FOCOGNANO";"40";"1";"RD3";"AR";"CRIVAL METALPLAST SRL";"0";"1";"N";""
"52016";"";"F";"0";"549";"0";"";"CASTEL FOCOGNANO";"40";"1";"RD3";"AR";"VITOR MONTAGGI SRLS";"0";"1";"N";""
"52016";"DOO";"C";"0";"125";"0";"76";"RASSINA-CASTEL FOCOGNANO";"14";"1";"RD3";"AR";"LA FUTURA SRL";"0";"0";"3";"16"
"52017";"";"F";"0";"46";"0";"";"STIA";"40";"1";"R.D";"AR";"RISTORANTE LA RANA DA FILETTO";"0";"1";"N";""
"52017";"";"F";"0";"473";"0";"";"STIA";"40";"1";"RD3";"AR";"CARROZZERIA LISI SNC";"0";"1";"N";""
"52017";"";"F";"0";"545";"0";"";"STIA";"40";"2";"RB6";"AR";"ARTI GRAFICHE CIANFERONI DI";"0";"1";"N";""
"52018";"";"F";"0";"151";"0";"";"CASTEL SAN NICCOLO'";"40";"1";"R.D";"AR";"F.LLI ALOIGI SRL";"0";"1";"N";""
"52018";"";"F";"0";"155";"0";"";"CASTEL SAN NICCOLO'";"40";"1";"RD3";"AR";"AZIENDA AGRICOLA CASENTINO SRL";"0";"1";"N";""
